stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.42403] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42510] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.42545] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42663] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.42742] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42786] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.42868] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.42913] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.43009] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43046] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43061] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43194] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43310] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43348] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43469] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43508] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43533] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43692] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43703] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.43716] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.43919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.44005] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44058] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.44128] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44214] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.44266] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44340] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.44428] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44503] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.44549] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44614] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.44651] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44766] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.44860] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.44905] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.45000] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45045] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.45147] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45186] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.45287] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45323] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.45491] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45526] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.45700] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45744] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.45780] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45893] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.45949] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.45961] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.46022] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.46144] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.46179] Single Buffer requirement not met.
